First.Class,Business.Class,Economy.Class
1.459,2.032,20.133
1.538,1.956,19.21
1.327,1.503,20.736
1.027,1.256,18.821
1.365,1.752,20.952
1.475,1.878,20.565
1.365,1.945,20.311
1.351,1.735,17.859
1.231,1.825,19.385
1.447,1.715,17.962
1.408,1.594,19.569
1.089,1.377,17.894
1.357,1.686,18.114
1.287,1.56,19.17
1.087,1.692,18.713
1.017,1.597,20.52
1.09,1.729,20.345
1.343,1.733,20.015
1.164,1.813,18.027
1.169,1.725,19.697
1.465,1.909,19.897
1.242,1.765,19.213
1.22,1.781,19.773
1.231,1.717,20.128
1.266,1.884,21.181
1.337,1.881,21.933
1.079,1.433,20.049
1.223,1.534,23.358
1.351,1.926,21.12
1.269,1.87,21.97
1.382,1.942,21.411
1.435,2.222,22.569
1.371,1.909,20.849
1.341,2.089,20.658
1.399,2.026,21.192
1.44,2.009,21.502
1.236,2.034,22.152
1.441,2.085,21.904
0.988,1.33,20.634
0.3,0.318,15.535
0.401,0.522,16.69
0.529,0.824,19.15
0.786,1.113,21.128
1.086,1.285,21.136
0.725,1.107,19.693
1.127,1.591,21.576
1.146,1.726,21.449
1.086,1.758,22.298
1.134,1.883,21.056
1.02,2.089,19.014
1.022,2.198,19.511
1.224,2.449,20.162
0.895,1.739,21.158
0.658,1.48,19.059
0.977,2.152,21.972
0.916,2.258,22.877
0.83,1.776,22.19
0.99,2.355,22.533
0.77,2.14,20.682
0.801,1.988,21.788
0.839,2.083,21.299
0.835,2.115,20.663
0.802,1.884,21.948
0.763,1.797,21.009
0.77,1.944,20.443
0.838,2.001,21.418
0.742,1.668,23.273
0.793,1.527,25.763
0.9,1.477,26.045
0.96,1.949,23.831
0.8,1.914,22.742
0.807,1.632,22.962
0.841,1.796,25.253
0.88,1.696,25.239
0.818,1.718,27.387
0.817,1.442,26.824
0.819,1.713,27.294
0.998,1.796,28.935
1.22,1.86,31.642
0.966,1.554,32.468
0.895,1.623,27.673
0.978,1.641,28.89
0.913,1.818,26.465
0.947,1.969,28.296
1.002,1.886,29.274
1.081,2.03,30.686
0.977,1.883,29.786
1.027,1.871,31.155
0.895,1.91,28.459
0.9,1.921,27.195
0.762,1.672,26.274
0.329,0.386,25.204
0.351,0.446,24.434
0.419,0.819,27.323
0.618,1.238,27.303
0.845,1.761,30.334
0.727,1.65,26.833
1.2,2.031,25.811
1.801,2.064,27.238
1.727,2.418,28.788
1.992,2.171,27.263
1.865,2.362,27.217
1.801,2.328,26.41
1.661,2.336,26.118
2.366,10.301,18.642
2.003,9.964,16.518
2.092,10.433,17.276
1.703,8.281,21.662
1.337,6.128,20.473
1.985,9.709,18.336
1.808,8.828,17.018
1.839,8.078,18.111
1.714,7.527,18.41
1.73,7.486,20.541
1.725,6.711,21.408
1.456,5.93,21.545
1.447,5.462,21.732
1.357,3.71,26.173
1.28,2.894,27.432
1.363,3.008,28.362
1.228,2.829,29.827
1.411,3.252,29.87
1.13,3.021,26.534
1.153,2.667,26.434
1.257,2.74,26.137
1.259,2.807,27.365
1.153,2.961,27.91
1.202,2.57,26.311
1.185,2.671,27.538
1.247,2.809,29.445
1.434,2.712,28.326
1.45,2.606,30.203
1.227,2.5,27.838
1.245,2.898,27.76
1.417,3.152,27.322
1.458,3.053,28.837
1.398,2.745,26.548
1.423,3.156,27.279
1.358,3.069,27.306
1.488,3.379,28.299
